id;exam_id;start_at;end_at;group_id;note
1;84189;2021-08-31T16:20:43;2021-09-01T01:32:20;81044;Triple-buffered magenta well-modulated
2;58960;2021-08-31T16:20:24;2021-09-01T00:16:53;78326;Tools
3;21495;2021-09-01T04:10:18;2021-08-31T17:20:40;93436;Tasty rich
4;56126;2021-09-01T08:40:33;2021-09-01T07:04:13;32183;lavender
5;28780;2021-08-31T16:05:11;2021-08-31T14:37:57;52343;Seamless Open-architected value-added
6;25710;2021-09-01T04:06:38;2021-08-31T23:37:00;85727;User violet Oregon
7;84575;2021-08-31T12:56:47;2021-08-31T16:30:56;23597;Focused generating neural
8;18705;2021-08-31T17:28:21;2021-09-01T09:44:33;3091;initiatives program
9;57718;2021-09-01T06:19:00;2021-08-31T19:57:57;38647;Mouse
10;45185;2021-08-31T13:00:42;2021-09-01T06:25:57;85705;override
