id;name;start_at;end_at;duration;mix;group_id;user_login
1;Unit Ball Dynamic;2021-12-16T08:08:59;2021-12-16T01:06:09;163;2;17437;back-end Cambridgeshire Romania
2;dynamic;2021-12-16T13:59:34;2021-12-15T23:17:54;140;1;39427;alarm deposit
3;mobile system;2021-12-16T00:04:21;2021-12-15T20:22:43;32;2;36502;Senior Central Nevada
4;Handmade;2021-12-16T10:11:02;2021-12-15T16:01:45;134;0;53643;payment overriding
5;Account indexing Croatia;2021-12-16T01:48:56;2021-12-16T10:11:58;127;2;89440;Creek
6;Corner;2021-12-16T10:20:33;2021-12-16T11:22:58;111;1;23384;plug-and-play Rwanda Gold
7;bypassing Shoes;2021-12-16T11:11:23;2021-12-16T09:09:32;89;2;55386;copying Wooden
8;hack Vermont Awesome;2021-12-16T07:32:24;2021-12-16T13:27:55;161;2;30921;Bike Nevada deposit
9;copying;2021-12-15T23:13:54;2021-12-15T22:03:02;157;2;9258;SSL bandwidth copy
10;payment Tasty Shirt;2021-12-16T11:44:47;2021-12-15T19:21:26;63;2;37932;Avon
