id;name;group_id;user_login
1;indigo Mills;Industrial Function-based;morph Utah Granite
2;Mouse;SDR;Handmade Licensed
3;Omani JBOD maximize;Buckinghamshire schemas plug-and-play;Jordan
4;payment context-sensitive;Ford Loaf;visualize Internal Soap
5;Architect turn-key Movies;payment Path Extensions;Security calculate
6;Mouse Ethiopian Savings;firewall auxiliary;visualize
7;Faroe Home;responsive;web collaborative
8;salmon Internal Synchronised;Orchestrator;Outdoors
9;model Puerto Tuna;Soft proactive;Fords Malta Metical
10;digital Creative Zloty;Borders;radical Sausages compressing
